ObjectID,extendPortVlanPrevious15MinDnDiscByteCounter,extendPortVlanPrevious15MinDnDiscFrameCounter,extendPortVlanPrevious15MinDnFwdByteCounter,extendPortVlanPrevious15MinDnFwdFrameCounter,extendPortVlanPrevious15MinUpDiscByteCounter,extendPortVlanPrevious15MinUpDiscFrameCounter,extendPortVlanPrevious15MinUpFwdByteCounter,extendPortVlanPrevious15MinUpFwdFrameCounter
P147270592.C3000@R1.S1.LT3.PON8.ONT22.C14.P1,0,0,4603,41,0,0,10962,43
P314639808.C3000@R1.S1.LT8.PON2.ONT3.C14.P1,0,0,0,0,0,0,0,0
P214787520.C3000@R1.S1.LT5.PON14.ONT51.C14.P1,0,0,0,0,0,0,0,0
P147088320.C3000@R1.S1.LT3.PON5.ONT50.C14.P1,0,0,0,0,0,0,0,0
P180361664.C3000@R1.S1.LT4.PON1.ONT13.C14.P1,0,0,2250,30,0,0,2190,30
P180497344.C1000@R1.S1.LT4.PON3.ONT22.C14.P1,0,0,8899517,8400,0,0,1184943,4959
P281557440.C3000@R1.S1.LT7.PON9.ONT29.C14.P1,0,0,0,0,0,0,0,0
P247878592.C1000@R1.S1.LT6.PON7.ONT42.C14.P1,0,0,0,0,0,0,0,0
P147085295.C3001@R1.S1.LT3.PON5.ONT44.SERV1,0,0,0,0,0,0,0,0
P214784495.C3001@R1.S1.LT5.PON14.ONT45.SERV1,0,0,0,0,0,0,0,0
P214710208.C3000@R1.S1.LT5.PON13.ONT28.C14.P1,0,0,0,0,0,0,0,0
P281609664.C3000@R1.S1.LT7.PON10.ONT3.C14.P1,0,0,2250,30,0,0,2190,30
P114105792.C3000@R1.S1.LT2.PON14.ONT15.C14.P1,0,0,51786,139,0,0,142825,169
P214724032.C3000@R1.S1.LT5.PON13.ONT55.C14.P1,0,0,0,0,0,0,0,0
P113261551.C3001@R1.S1.LT2.PON1.ONT30.SERV1,0,0,0,0,0,0,0,0
P247810031.C3001@R1.S1.LT6.PON6.ONT36.SERV1,0,0,112641,200,0,0,224301,271
P247999424.C3000@R1.S1.LT6.PON9.ONT22.C14.P1,0,0,51709,138,0,0,142602,166
P247996399.C3001@R1.S1.LT6.PON9.ONT16.SERV1,0,0,0,0,0,0,0,0
P113452992.C3000@R1.S1.LT2.PON4.ONT20.C14.P1,0,0,2250,30,0,0,2190,30
P180429248.C1000@R1.S1.LT4.PON2.ONT17.C14.P1,0,0,173992539,124771,0,0,7822136,67108
P214771183.C3001@R1.S1.LT5.PON14.ONT19.SERV1,0,0,0,0,0,0,0,0
P214916032.C1000@R1.S1.LT5.PON16.ONT46.C14.P1,0,0,1983,30,0,0,1197,18
P214838767.C3001@R1.S1.LT5.PON15.ONT23.SERV1,0,0,0,0,0,0,0,0
P214897088.C3000@R1.S1.LT5.PON16.ONT9.C14.P1,0,0,2250,30,0,0,2190,30
P113317824.C1000@R1.S1.LT2.PON2.ONT12.C14.P1,0,0,86227,598,0,0,133716,839
P315515328.C1000@R1.S1.LT8.PON15.ONT49.C14.P1,0,0,67710844,49565,0,0,1718199,14198
P247932399.C3001@R1.S1.LT6.PON8.ONT19.SERV1,0,0,26029,55,0,0,112820,157
P247935424.C3000@R1.S1.LT6.PON8.ONT25.C14.P1,0,0,2250,30,0,0,2190,30
P281544128.C3000@R1.S1.LT7.PON9.ONT3.C14.P1,0,0,0,0,0,0,0,0
P214827456.C1000@R1.S1.LT5.PON15.ONT1.C14.P1,0,0,0,0,0,0,0,0
P214115264.C1000@R1.S1.LT5.PON4.ONT18.C14.P1,0,0,0,0,0,0,0,0
P180961775.C3001@R1.S1.LT4.PON10.ONT33.SERV1,0,0,0,0,0,0,0,0
P180964800.C3000@R1.S1.LT4.PON10.ONT39.C14.P1,0,0,0,0,0,0,0,0
P214113263.C3001@R1.S1.LT5.PON4.ONT14.SERV1,0,0,5226,26,0,0,58756,102
P315502016.C1000@R1.S1.LT8.PON15.ONT23.C14.P1,0,0,0,0,0,0,0,0
P113271744.C1000@R1.S1.LT2.PON1.ONT50.C14.P1,0,0,7460772,6682,0,0,778793,4873
P181027776.C3000@R1.S1.LT4.PON11.ONT34.C14.P1,0,0,0,0,0,0,0,0
P114045888.C1000@R1.S1.LT2.PON13.ONT26.C14.P1,0,0,661,10,0,0,399,6
P214833088.C3000@R1.S1.LT5.PON15.ONT12.C14.P1,0,0,0,0,0,0,0,0
P113323456.C3000@R1.S1.LT2.PON2.ONT23.C14.P1,0,0,4603,41,0,0,10962,43
P315500015.C3001@R1.S1.LT8.PON15.ONT19.SERV1,0,0,0,0,0,0,0,0
P181014464.C3000@R1.S1.LT4.PON11.ONT8.C14.P1,0,0,0,0,0,0,0,0
P147075008.C3000@R1.S1.LT3.PON5.ONT24.C14.P1,0,0,0,0,0,0,0,0
P248063424.C3000@R1.S1.LT6.PON10.ONT19.C14.P1,0,0,0,0,0,0,0,0
P315446208.C1000@R1.S1.LT8.PON14.ONT42.C14.P1,0,0,0,0,0,0,0,0
P214121920.C1000@R1.S1.LT5.PON4.ONT31.C14.P1,0,0,0,0,0,0,0,0
P248060399.C3001@R1.S1.LT6.PON10.ONT13.SERV1,0,0,116738,205,0,0,226593,265
P281549807.C3001@R1.S1.LT7.PON9.ONT14.SERV1,0,0,65482,120,0,0,171515,207
P247811520.C1000@R1.S1.LT6.PON6.ONT39.C14.P1,0,0,0,0,0,0,0,0
P214720495.C3001@R1.S1.LT5.PON13.ONT48.SERV1,0,0,0,0,0,0,0,0
P147095488.C1000@R1.S1.LT3.PON5.ONT64.C14.P1,0,0,0,0,0,0,0,0
P247881152.C3000@R1.S1.LT6.PON7.ONT47.C14.P1,0,0,0,0,0,0,0,0
P247948736.C3000@R1.S1.LT6.PON8.ONT51.C14.P1,0,0,4602,41,0,0,10959,43
P214059456.C1000@R1.S1.LT5.PON3.ONT37.C14.P1,0,0,0,0,0,0,0,0
P114033647.C3001@R1.S1.LT2.PON13.ONT2.SERV1,0,0,0,0,0,0,0,0
P315498991.C3001@R1.S1.LT8.PON15.ONT17.SERV1,0,0,97614,175,0,0,204230,247
P248005568.C3000@R1.S1.LT6.PON9.ONT34.C14.P1,0,0,2250,30,0,0,2190,30
P113319360.C1000@R1.S1.LT2.PON2.ONT15.C14.P1,0,0,7888,88,0,0,35252,349
P315513327.C3001@R1.S1.LT8.PON15.ONT45.SERV1,0,0,6687,26,0,0,47497,83
P214839279.C3001@R1.S1.LT5.PON15.ONT24.SERV1,0,0,0,0,0,0,0,0
P247928303.C3001@R1.S1.LT6.PON8.ONT11.SERV1,0,0,21737,53,0,0,33442,54
P214722496.C1000@R1.S1.LT5.PON13.ONT52.C14.P1,0,0,0,0,0,0,0,0
P113251311.C3001@R1.S1.LT2.PON1.ONT10.SERV1,0,0,0,0,0,0,0,0
P214046144.C1000@R1.S1.LT5.PON3.ONT11.C14.P1,0,0,0,0,0,0,0,0
P214723520.C3000@R1.S1.LT5.PON13.ONT54.C14.P1,0,0,0,0,0,0,0,0
P114046959.C3001@R1.S1.LT2.PON13.ONT28.SERV1,0,0,80732,145,0,0,169070,196
P147081711.C3001@R1.S1.LT3.PON5.ONT37.SERV1,0,0,0,0,0,0,0,0
P247816175.C3001@R1.S1.LT6.PON6.ONT48.SERV1,0,0,0,0,0,0,0,0
P214709231.C3001@R1.S1.LT5.PON13.ONT26.SERV1,0,0,0,0,0,0,0,0
P247860207.C3001@R1.S1.LT6.PON7.ONT6.SERV1,0,0,92408,165,0,0,204483,243
P247865280.C1000@R1.S1.LT6.PON7.ONT16.C14.P1,0,0,0,0,0,0,0,0
P180367855.C3001@R1.S1.LT4.PON1.ONT25.SERV1,0,0,5128,25,0,0,58377,101
P315369455.C3001@R1.S1.LT8.PON13.ONT20.SERV1,0,0,0,0,0,0,0,0
P181085632.C3000@R1.S1.LT4.PON12.ONT19.C14.P1,0,0,2250,30,0,0,2190,30
P247819200.C3000@R1.S1.LT6.PON6.ONT54.C14.P1,0,0,2250,30,0,0,2190,30
P214062016.C3000@R1.S1.LT5.PON3.ONT42.C14.P1,0,0,0,0,0,0,0,0
P113265088.C1000@R1.S1.LT2.PON1.ONT37.C14.P1,0,0,553033709,399489,0,0,14512728,121704
P281746368.C1000@R1.S1.LT7.PON12.ONT14.C14.P1,0,0,244348055,183472,0,0,15329123,71804
P247873519.C3001@R1.S1.LT6.PON7.ONT32.SERV1,0,0,5090,24,0,0,62808,106
P247799744.C3000@R1.S1.LT6.PON6.ONT16.C14.P1,0,0,0,0,0,0,0,0
P214774208.C3000@R1.S1.LT5.PON14.ONT25.C14.P1,0,0,0,0,0,0,0,0
P147082176.C1000@R1.S1.LT3.PON5.ONT38.C14.P1,0,0,0,0,0,0,0,0
P315377088.C3000@R1.S1.LT8.PON13.ONT35.C14.P1,0,0,0,0,0,0,0,0
P247886831.C3001@R1.S1.LT6.PON7.ONT58.SERV1,0,0,0,0,0,0,0,0
P214841792.C1000@R1.S1.LT5.PON15.ONT29.C14.P1,0,0,0,0,0,0,0,0
P247930816.C1000@R1.S1.LT6.PON8.ONT16.C14.P1,0,0,115084136,110382,0,0,17704516,88440
P281610688.C3000@R1.S1.LT7.PON10.ONT5.C14.P1,0,0,0,0,0,0,0,0
P180364736.C3000@R1.S1.LT4.PON1.ONT19.C14.P1,0,0,2250,30,0,0,2190,30
P214052800.C1000@R1.S1.LT5.PON3.ONT24.C14.P1,0,0,0,0,0,0,0,0
P113269231.C3001@R1.S1.LT2.PON1.ONT45.SERV1,0,0,0,0,0,0,0,0
P281567680.C3000@R1.S1.LT7.PON9.ONT49.C14.P1,0,0,2250,30,0,0,2190,30
P247927279.C3001@R1.S1.LT6.PON8.ONT9.SERV1,0,0,0,0,0,0,0,0
P247941568.C3000@R1.S1.LT6.PON8.ONT37.C14.P1,0,0,2250,30,0,0,2190,30
P114051520.C3000@R1.S1.LT2.PON13.ONT37.C14.P1,0,0,0,0,0,0,0,0
P113312192.C1000@R1.S1.LT2.PON2.ONT1.C14.P1,0,0,120430,334,0,0,52598,260
P180424175.C3001@R1.S1.LT4.PON2.ONT7.SERV1,0,0,6066,24,0,0,59215,99
P180427200.C3000@R1.S1.LT4.PON2.ONT13.C14.P1,0,0,2250,30,0,0,2190,30
P214724079.C3001@R1.S1.LT5.PON13.ONT55.SERV1,0,0,0,0,0,0,0,0
P214727104.C3000@R1.S1.LT5.PON13.ONT61.C14.P1,0,0,0,0,0,0,0,0
P247799791.C3001@R1.S1.LT6.PON6.ONT16.SERV1,0,0,0,0,0,0,0,0
P247813103.C3001@R1.S1.LT6.PON6.ONT42.SERV1,0,0,67978,124,0,0,156593,199
P214118336.C1000@R1.S1.LT5.PON4.ONT24.C14.P1,0,0,909832038,656123,0,0,25633643,257222
P248002496.C3000@R1.S1.LT6.PON9.ONT28.C14.P1,0,0,2100,28,0,0,2044,28
P248054720.C1000@R1.S1.LT6.PON10.ONT2.C14.P1,0,0,30065356,23511,0,0,1589152,9036
P147080128.C3000@R1.S1.LT3.PON5.ONT34.C14.P1,0,0,0,0,0,0,0,0
P180430831.C3001@R1.S1.LT4.PON2.ONT20.SERV1,0,0,0,0,0,0,0,0
P314640832.C3000@R1.S1.LT8.PON2.ONT5.C14.P1,0,0,0,0,0,0,0,0
P180432832.C1000@R1.S1.LT4.PON2.ONT24.C14.P1,0,0,69686869,51474,0,0,2427753,17080
P247889856.C3000@R1.S1.LT6.PON7.ONT64.C14.P1,0,0,2250,30,0,0,2190,30
P181077999.C3001@R1.S1.LT4.PON12.ONT4.SERV1,0,0,0,0,0,0,0,0
P214770624.C3000@R1.S1.LT5.PON14.ONT18.C14.P1,0,0,0,0,0,0,0,0
P114048960.C1000@R1.S1.LT2.PON13.ONT32.C14.P1,0,0,2397730774,1676477,0,0,64773910,655454
P113255407.C3001@R1.S1.LT2.PON1.ONT18.SERV1,0,0,75300,142,0,0,175297,222
P281554368.C3000@R1.S1.LT7.PON9.ONT23.C14.P1,0,0,2250,30,0,0,2190,30
P247924160.C1000@R1.S1.LT6.PON8.ONT3.C14.P1,0,0,0,0,0,0,0,0
P147087808.C1000@R1.S1.LT3.PON5.ONT49.C14.P1,0,0,0,0,0,0,0,0
P214783936.C3000@R1.S1.LT5.PON14.ONT44.C14.P1,0,0,0,0,0,0,0,0
P147199983.C3001@R1.S1.LT3.PON7.ONT12.SERV1,0,0,0,0,0,0,0,0
P113268719.C3001@R1.S1.LT2.PON1.ONT44.SERV1,0,0,0,0,0,0,0,0
P214071744.C3000@R1.S1.LT5.PON3.ONT61.C14.P1,0,0,0,0,0,0,0,0
P247937472.C1000@R1.S1.LT6.PON8.ONT29.C14.P1,0,0,455118055,520363,0,0,104418358,267725
P114058176.C3000@R1.S1.LT2.PON13.ONT50.C14.P1,0,0,4600,41,0,0,10953,43
P247933935.C3001@R1.S1.LT6.PON8.ONT22.SERV1,0,0,133424,231,0,0,244833,293
P113447872.C3000@R1.S1.LT2.PON4.ONT10.C14.P1,0,0,4602,41,0,0,10965,43
P180948928.C3000@R1.S1.LT4.PON10.ONT8.C14.P1,0,0,0,0,0,0,0,0
P214069696.C1000@R1.S1.LT5.PON3.ONT57.C14.P1,0,0,0,0,0,0,0,0
P147093440.C3000@R1.S1.LT3.PON5.ONT60.C14.P1,0,0,0,0,0,0,0,0
P248060352.C3000@R1.S1.LT6.PON10.ONT13.C14.P1,0,0,2250,30,0,0,2190,30
P214051311.C3001@R1.S1.LT5.PON3.ONT21.SERV1,0,0,0,0,0,0,0,0
P147079151.C3001@R1.S1.LT3.PON5.ONT32.SERV1,0,0,0,0,0,0,0,0
P281546735.C3001@R1.S1.LT7.PON9.ONT8.SERV1,0,0,44552,95,0,0,139592,181
P113257408.C1000@R1.S1.LT2.PON1.ONT22.C14.P1,0,0,0,0,0,0,0,0
P214776815.C3001@R1.S1.LT5.PON14.ONT30.SERV1,0,0,0,0,0,0,0,0
P214056384.C1000@R1.S1.LT5.PON3.ONT31.C14.P1,0,0,0,0,0,0,0,0
P214768576.C1000@R1.S1.LT5.PON14.ONT14.C14.P1,0,0,0,0,0,0,0,0
P214834624.C3000@R1.S1.LT5.PON15.ONT15.C14.P1,0,0,0,0,0,0,0,0
P214064623.C3001@R1.S1.LT5.PON3.ONT47.SERV1,0,0,0,0,0,0,0,0
P214725568.C1000@R1.S1.LT5.PON13.ONT58.C14.P1,0,0,0,0,0,0,0,0
P214831599.C3001@R1.S1.LT5.PON15.ONT9.SERV1,0,0,0,0,0,0,0,0
P247857600.C1000@R1.S1.LT6.PON7.ONT1.C14.P1,0,0,139123358,100041,0,0,8023328,65968
P113320431.C3001@R1.S1.LT2.PON2.ONT17.SERV1,0,0,0,0,0,0,0,0
P214712256.C1000@R1.S1.LT5.PON13.ONT32.C14.P1,0,0,0,0,0,0,0,0
P213996992.C3000@R1.S1.LT5.PON2.ONT43.C14.P1,0,0,0,0,0,0,0,0
P214000064.C1000@R1.S1.LT5.PON2.ONT49.C14.P1,0,0,0,0,0,0,0,0
P315443136.C1000@R1.S1.LT8.PON14.ONT36.C14.P1,0,0,0,0,0,0,0,0
P281936320.C3000@R1.S1.LT7.PON15.ONT1.C14.P1,0,0,2250,30,0,0,2190,30
P315508672.C3000@R1.S1.LT8.PON15.ONT36.C14.P1,0,0,2100,28,0,0,2044,28
P114121152.C1000@R1.S1.LT2.PON14.ONT45.C14.P1,0,0,84183238,72242,0,0,8452559,25563
P281685024.C1111@R1.S1.LT7.PON11.ONT23.C1.P1,0,0,13741448,17737,5615,17,2178449,15403
P214043072.C1000@R1.S1.LT5.PON3.ONT5.C14.P1,0,0,0,0,0,0,0,0
P247876544.C3000@R1.S1.LT6.PON7.ONT38.C14.P1,0,0,154887,694,0,0,502558,888
P247823296.C3000@R1.S1.LT6.PON6.ONT62.C14.P1,0,0,2100,28,0,0,2044,28
P281681856.C3000@R1.S1.LT7.PON11.ONT16.C14.P1,0,0,2250,30,0,0,2190,30
P214923200.C1000@R1.S1.LT5.PON16.ONT60.C14.P1,0,0,483179343,395902,0,0,145810595,307949
P247954880.C3000@R1.S1.LT6.PON8.ONT63.C14.P1,0,0,2100,28,0,0,2044,28
P114037231.C3001@R1.S1.LT2.PON13.ONT9.SERV1,0,0,29865,61,0,0,103136,135
P247863232.C3000@R1.S1.LT6.PON7.ONT12.C14.P1,0,0,0,0,0,0,0,0
P248059375.C3001@R1.S1.LT6.PON10.ONT11.SERV1,0,0,0,0,0,0,0,0
P247754176.C1000@R1.S1.LT6.PON5.ONT55.C14.P1,0,0,220956524,165874,0,0,6096043,35597
P281744320.C3000@R1.S1.LT7.PON12.ONT10.C14.P1,0,0,2250,30,0,0,2190,30
P281741295.C3001@R1.S1.LT7.PON12.ONT4.SERV1,0,0,79974,146,0,0,178604,221
P113263040.C3000@R1.S1.LT2.PON1.ONT33.C14.P1,0,0,0,0,0,0,0,0
P213983680.C3000@R1.S1.LT5.PON2.ONT17.C14.P1,0,0,0,0,0,0,0,0
P314646976.C3000@R1.S1.LT8.PON2.ONT17.C14.P1,0,0,0,0,0,0,0,0
P214844864.C1000@R1.S1.LT5.PON15.ONT35.C14.P1,0,0,0,0,0,0,0,0
P281570240.C3000@R1.S1.LT7.PON9.ONT54.C14.P1,0,0,2250,30,0,0,2190,30
P247883712.C3000@R1.S1.LT6.PON7.ONT52.C14.P1,0,0,2250,30,0,0,2190,30
P214920128.C1000@R1.S1.LT5.PON16.ONT54.C14.P1,0,0,0,0,0,0,0,0
P281747439.C3001@R1.S1.LT7.PON12.ONT16.SERV1,0,0,4386,28,0,0,61817,110
P248008687.C3001@R1.S1.LT6.PON9.ONT40.SERV1,0,0,5029,23,0,0,55904,95
P114057664.C3000@R1.S1.LT2.PON13.ONT49.C14.P1,0,0,0,0,0,0,0,0
P214727151.C3001@R1.S1.LT5.PON13.ONT61.SERV1,0,0,0,0,0,0,0,0
P214761920.C1000@R1.S1.LT5.PON14.ONT1.C14.P1,0,0,0,0,0,0,0,0
P247880687.C3001@R1.S1.LT6.PON7.ONT46.SERV1,0,0,0,0,0,0,0,0
P214842863.C3001@R1.S1.LT5.PON15.ONT31.SERV1,0,0,0,0,0,0,0,0
P247869423.C3001@R1.S1.LT6.PON7.ONT24.SERV1,0,0,0,0,0,0,0,0
P214831552.C1000@R1.S1.LT5.PON15.ONT9.C14.P1,0,0,0,0,0,0,0,0
P281569263.C3001@R1.S1.LT7.PON9.ONT52.SERV1,0,0,68402,124,0,0,155036,190
P180357568.C3000@R1.S1.LT4.PON1.ONT5.C14.P1,0,0,2100,28,0,0,2044,28
P113327087.C3001@R1.S1.LT2.PON2.ONT30.SERV1,0,0,78154,144,0,0,170512,213
P214119407.C3001@R1.S1.LT5.PON4.ONT26.SERV1,0,0,5164,25,0,0,59496,102
P113321920.C1000@R1.S1.LT2.PON2.ONT20.C14.P1,0,0,0,0,0,0,0,0
P147269568.C3000@R1.S1.LT3.PON8.ONT20.C14.P1,0,0,0,0,0,0,0,0
P247997888.C3000@R1.S1.LT6.PON9.ONT19.C14.P1,0,0,0,0,0,0,0,0
P114044352.C3000@R1.S1.LT2.PON13.ONT23.C14.P1,0,0,0,0,0,0,0,0
P214794688.C3000@R1.S1.LT5.PON14.ONT65.C14.P1,0,0,0,0,0,0,0,0
P214767087.C3001@R1.S1.LT5.PON14.ONT11.SERV1,0,0,0,0,0,0,0,0
P247877056.C3000@R1.S1.LT6.PON7.ONT39.C14.P1,0,0,2250,30,0,0,2190,30
P247822784.C3000@R1.S1.LT6.PON6.ONT61.C14.P1,0,0,2250,30,0,0,2190,30
P214763503.C3001@R1.S1.LT5.PON14.ONT4.SERV1,0,0,0,0,0,0,0,0
P147071424.C1000@R1.S1.LT3.PON5.ONT17.C14.P1,0,0,0,0,0,0,0,0
P113254336.C1000@R1.S1.LT2.PON1.ONT16.C14.P1,0,0,480040875,330423,0,0,17322721,175027
P147084736.C1000@R1.S1.LT3.PON5.ONT43.C14.P1,0,0,0,0,0,0,0,0
P247925231.C3001@R1.S1.LT6.PON8.ONT5.SERV1,0,0,87524,158,0,0,179602,217
P114038720.C1000@R1.S1.LT2.PON13.ONT12.C14.P1,0,0,0,0,0,0,0,0
P214839232.C3000@R1.S1.LT5.PON15.ONT24.C14.P1,0,0,0,0,0,0,0,0
P113267648.C1000@R1.S1.LT2.PON1.ONT42.C14.P1,0,0,1322,20,0,0,798,12
P180431343.C3001@R1.S1.LT4.PON2.ONT21.SERV1,0,0,5429,29,0,0,65188,114
P147261888.C1000@R1.S1.LT3.PON8.ONT5.C14.P1,0,0,0,0,0,0,0,0
